Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.10683,0.11719,0.069801,0,0,0,3.0098,0.005814,4.3391E-07,-4.291E-07,0.0067269,-7.9314E-06,0.011765,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.04556,0.0083094,0.0029762,0,0,0,0.072793,2.2093E-05,-1.6485E-08,-1.5645E-07,1.6263E-05,2.9641E-09,1.8084E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,Axis_LFS,LFS,fixed,0.204406433684605,0.0540436140506676,-0.0145027479853973,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
LFW,0.015,3.46944695195361E-18,6.93889390390723E-18,0,0,0,0.289786121963991,0.000439831942427159,-2.09863621457082E-37,2.65985238800717E-37,0.000241649930360879,-1.35525271560688E-20,0.000241649930360879,0,0,0,0,0,0,package://lide/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.0633463599631527,-0.00679803845222952,0.0150436140506676,-0.703646577818819,0,0,LFS,1,0,0,,,,,,,,,,,,
RFS,-0.019183,-0.0090093,0.052006,0,0,0,0.072793,2.2093E-05,-1.6485E-08,1.5645E-07,1.6263E-05,-2.9641E-09,1.8084E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,Axis_RFS,RFS,fixed,-0.0207840297098062,0.103073017420291,0.00278439186905151,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,0,0,0,0,0,0.28979,0.00043983,-4.6524E-37,1.7402E-39,0.00024165,3.024E-39,0.00024165,0,0,0,0,0,0,package://lide/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.024084,0.064073,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0,-0.045029,0,0,0,0,0.44204,0.00028466,5.986E-23,-7.0058E-22,0.00017531,1.4027E-21,0.0002841,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus_all-1,Origin_LBS,,LBS,fixed,0.25,0.202,0.0087742,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
RBS,0,-0.045029,-2.7756E-17,0,0,0,0.44204,0.00028466,-1.2778E-21,-4.8787E-23,0.00017531,1.3263E-21,0.0002841,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus_all-2,Origin_RBS,,RBS,fixed,-0.040003,0.202,0.0087742,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
fcam,0.00044553,-1.1063E-05,0.0012982,0,0,0,0.043612,2.3571E-05,-1.0181E-09,2.1758E-08,4.2948E-06,-8.8579E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,0.10501,0.012,0.15699,0,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
bcam,0.00044553,-1.1063E-05,0.0012982,0,0,0,0.043612,2.3571E-05,-1.0183E-09,2.1758E-08,4.2948E-06,-8.8548E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/bcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/bcam.STL,,Webcam_C920-1,bcam,Axis_bcam,bcam,fixed,0.105008419451464,0.0205809825543648,0.121711910664449,0,0.785398163397446,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
Lidar,0.013523,0.00046196,-0.028765,0,0,0,0.073085,1.9581E-05,-1.0393E-07,-4.2839E-07,2.4125E-05,9.4271E-09,4.1418E-05,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,,RPLidar-1,Lidar,,Lidar,fixed,0.10401,0.19458,0.2285,0,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
imu_link,0.0038502,0.0037336,-0.0010338,0,0,0,0.00070067,2.8868E-08,5.1561E-11,5.7227E-12,1.798E-08,-2.3337E-11,4.6383E-08,0,0,0,0,0,0,package://lide/meshes/imu_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/imu_link.STL,,IMU-1,imu_link,,imu_link,fixed,0.105,0.039,0.177,0,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
